Instance File,Number of Nodes,Number of Edges,Expected K,K,Execution Time,Solution found,Notes,Iterations
anna,138,986,11,11.0,0.03470000000000001,True,,10
david,87,812,11,11.0,0.010099999999999998,True,,10
fpsol2.i.1,496,11654,65,65.0,1.7228999999999999,True,,10
fpsol2.i.2,451,8691,30,30.0,1.1606,True,,10
fpsol2.i.3,425,8688,30,30.0,0.9917,True,,10
games120,120,1276,9,9.0,0.023699999999999995,True,,10
homer,561,3258,13,13.0,2.1955999999999998,True,,10
huck,74,602,11,11.0,0.005899999999999999,True,,10
inithx.i.1,864,18707,54,54.0,8.1271,True,,10
inithx.i.2,645,13979,31,31.0,3.3999,True,,10
inithx.i.3,621,13969,31,31.0,3.0728,True,,10
jean,80,508,10,10.0,0.007600000000000001,True,,10
le450_15b,450,8169,15,16.0,1.1873,False,,10
le450_15c,450,16680,15,23.0,1.3563,False,,10
le450_15d,450,16750,15,24.0,1.3573000000000002,False,,10
le450_25a,450,8263,25,25.0,1.1577,True,,10
le450_25b,450,8263,25,25.0,1.1537,True,,10
le450_25c,450,17343,25,29.0,1.3647999999999998,False,,10
le450_25d,450,17425,25,28.0,1.3441,False,,10
le450_5a,450,5714,5,10.0,1.1603,False,,10
le450_5b,450,9803,5,10.0,1.2501000000000002,False,,10
le450_5c,450,9803,5,10.0,1.2501000000000002,False,,10
le450_5d,450,9757,5,12.0,1.2552999999999999,False,,10
miles1000,128,6432,42,42.0,0.0377,True,,10
miles1500,128,10396,73,73.0,0.0493,True,,10
miles250,128,774,8,8.0,0.0256,True,,10
miles500,128,2340,20,20.0,0.028600000000000004,True,,10
miles750,128,4226,31,31.0,0.0335,True,,10
myciel3,11,20,4,4.0,0.0,True,,10
myciel4,23,71,5,5.0,0.0005,True,,10
myciel5,47,236,6,6.0,0.0024000000000000002,True,,10
myciel6,95,755,7,7.0,0.014900000000000002,True,,10
myciel7,191,2360,8,8.0,0.1004,True,,10
queen11_11,121,3960,11,15.0,0.030500000000000006,False,,10
queen13_13,169,6656,13,17.0,0.07499999999999998,False,,10
queen5_5,25,320,5,5.0,0.0006000000000000001,True,,10
queen6_6,36,580,7,9.0,0.0012000000000000001,False,,10
queen7_7,49,952,7,11.0,0.0029000000000000007,False,,10
queen8_12,96,2736,12,14.0,0.016100000000000003,False,,10
