Instance File,Number of Nodes,Number of Edges,Expected K,K,Execution Time,Solution found,Notes,Iterations
anna,138,986,11,11.0,0.033400000000000006,True,,10
david,87,812,11,11.0,0.0093,True,,10
fpsol2.i.1,496,11654,65,65.0,1.6446999999999998,True,,10
fpsol2.i.2,451,8691,30,30.0,1.1876000000000002,True,,10
fpsol2.i.3,425,8688,30,30.0,0.985,True,,10
games120,120,1276,9,9.0,0.0226,True,,10
homer,561,3258,13,13.0,2.1801,True,,10
huck,74,602,11,11.0,0.005899999999999999,True,,10
inithx.i.1,864,18707,54,54.0,8.1221,True,,10
inithx.i.2,645,13979,31,31.0,3.3934999999999995,True,,10
inithx.i.3,621,13969,31,31.0,3.0445,True,,10
jean,80,508,10,10.0,0.007000000000000001,True,,10
le450_15b,450,8169,15,16.0,1.1808000000000003,False,,10
le450_15c,450,16680,15,23.0,1.3468,False,,10
le450_15d,450,16750,15,24.0,1.3515000000000001,False,,10
le450_25a,450,8263,25,25.0,1.1587,True,,10
le450_25b,450,8263,25,25.0,1.1559000000000004,True,,10
le450_25c,450,17343,25,29.0,1.3619999999999999,False,,10
le450_25d,450,17425,25,28.0,1.3634000000000004,False,,10
le450_5a,450,5714,5,10.0,1.1927,False,,10
le450_5b,450,9803,5,10.0,1.2908,False,,10
le450_5c,450,9803,5,10.0,1.2753,False,,10
le450_5d,450,9757,5,12.0,1.2661,False,,10
miles1000,128,6432,42,42.0,0.0377,True,,10
miles1500,128,10396,73,73.0,0.048999999999999995,True,,10
miles250,128,774,8,8.0,0.0258,True,,10
miles500,128,2340,20,20.0,0.027700000000000002,True,,10
miles750,128,4226,31,31.0,0.032400000000000005,True,,10
myciel3,11,20,4,4.0,0.0,True,,10
myciel4,23,71,5,5.0,0.00030000000000000003,True,,10
myciel5,47,236,6,6.0,0.0026000000000000003,True,,10
myciel6,95,755,7,7.0,0.014600000000000002,True,,10
myciel7,191,2360,8,8.0,0.09779999999999998,True,,10
queen11_11,121,3960,11,15.0,0.029800000000000004,False,,10
queen13_13,169,6656,13,17.0,0.0754,False,,10
queen5_5,25,320,5,5.0,0.0006000000000000001,True,,10
queen6_6,36,580,7,9.0,0.0012000000000000003,False,,10
queen7_7,49,952,7,11.0,0.0026,False,,10
queen8_12,96,2736,12,14.0,0.016100000000000003,False,,10
queen8_8,64,1456,9,12.0,0.0058,False,,10
queen9_9,81,2112,10,13.0,0.0101,False,,10
zeroin.i.1,211,4100,49,49.0,0.1275,True,,10
