Instance File,Number of Nodes,Number of Edges,Expected K,K,Execution Time,Solution found,Notes,Iterations
anna,138,986,11,11.0,0.0030999999999999995,1.0,,10
david,87,812,11,11.0,0.0014000000000000002,1.0,,10
fpsol2.i.1,496,11654,65,65.0,0.1022,1.0,,10
fpsol2.i.2,451,8691,30,30.0,0.054200000000000005,1.0,,10
fpsol2.i.3,425,8688,30,30.0,0.04789999999999999,1.0,,10
games120,120,1276,9,9.0,0.0034999999999999996,1.0,,10
homer,561,3258,13,13.0,0.13630000000000003,1.0,,10
huck,74,602,11,11.0,0.0010000000000000002,1.0,,10
inithx.i.1,864,18707,54,54.0,0.3575,1.0,,10
