Instance File,Number of Nodes,Number of Edges,Expected K,K,Execution Time,Solution found,Notes,Iterations
anna,138,986,11,11.0,0.0039000000000000007,1.0,,10
david,87,812,11,11.0,0.0017000000000000001,1.0,,10
fpsol2.i.1,496,11654,65,65.0,0.1011,1.0,,10
fpsol2.i.2,451,8691,30,30.0,0.053000000000000005,1.0,,10
fpsol2.i.3,425,8688,30,30.0,0.04789999999999999,1.0,,10
games120,120,1276,9,9.0,0.0034000000000000002,1.0,,10
homer,561,3258,13,13.0,0.1327,1.0,,10
huck,74,602,11,11.0,0.0012000000000000001,1.0,,10
inithx.i.1,864,18707,54,54.0,0.34809999999999997,1.0,,10
