Instance File,Number of Nodes,Number of Edges,Expected K,K,Execution Time,Solution found,Notes,Iterations
anna,138,986,11,11.0,0.0020000000000000005,1.0,,
david,87,812,11,11.0,0.0005,1.0,,
fpsol2.i.1,496,11654,65,65.0,0.08059999999999999,1.0,,
fpsol2.i.2,451,8691,30,30.0,0.040999999999999995,1.0,,
fpsol2.i.3,425,8688,30,30.0,0.036199999999999996,1.0,,
games120,120,1276,9,9.0,0.0024000000000000002,1.0,,
homer,561,3258,13,13.0,0.12120000000000002,1.0,,
huck,74,602,11,11.0,0.0006000000000000001,1.0,,
inithx.i.1,864,18707,54,54.0,0.312,1.0,,
