Instance File,Number of Nodes,Number of Edges,Expected K,K,Execution Time,Solution found,Notes,Iterations
anna,138,986,11,11.0,0.0020000000000000005,1.0,,
david,87,812,11,11.0,0.0009000000000000001,1.0,,
